State,Month,Year,FTAs,DTAs,Events,Weather,Traffic_Level
Andhra Pradesh,January,2024,39166,42714,None,Cool,Medium
Andhra Pradesh,February,2024,22659,73890,None,Cool,Medium
Andhra Pradesh,March,2024,8936,78361,None,Warm,Medium
Andhra Pradesh,April,2024,40940,132002,None,Warm,High
Andhra Pradesh,May,2024,40414,64266,None,Warm,High
Andhra Pradesh,June,2024,49515,89665,None,Rainy,High
Andhra Pradesh,July,2024,33402,122205,None,Rainy,High
Andhra Pradesh,August,2024,31650,69098,None,Rainy,High
Andhra Pradesh,September,2024,36070,37537,None,Rainy,Medium
Andhra Pradesh,October,2024,22472,133892,None,Pleasant,High
Andhra Pradesh,November,2024,37951,33175,None,Pleasant,Medium
Andhra Pradesh,December,2024,34154,70718,None,Cool,High
Arunachal Pradesh,January,2024,47706,58366,None,Cool,High
Arunachal Pradesh,February,2024,16369,28200,None,Cool,Low
Arunachal Pradesh,March,2024,37778,140271,None,Warm,High
Arunachal Pradesh,April,2024,29725,96600,None,Warm,High
Arunachal Pradesh,May,2024,47989,114609,None,Warm,High
Arunachal Pradesh,June,2024,9284,42894,None,Rainy,Medium
Arunachal Pradesh,July,2024,37249,44444,None,Rainy,Medium
Arunachal Pradesh,August,2024,25915,49339,None,Rainy,Medium
Arunachal Pradesh,September,2024,32833,52032,None,Rainy,Medium
Arunachal Pradesh,October,2024,3789,70844,None,Pleasant,Medium
Arunachal Pradesh,November,2024,5052,67018,None,Pleasant,Medium
Arunachal Pradesh,December,2024,39486,141312,None,Cool,High
Assam,January,2024,49995,74759,Bihu,Cool,High
Assam,February,2024,27658,124618,Bihu,Cool,High
Assam,March,2024,19217,90879,Bihu,Warm,High
Assam,April,2024,20786,129559,Bihu,Warm,High
Assam,May,2024,26266,95202,Bihu,Warm,High
Assam,June,2024,4078,148685,Bihu,Rainy,High
Assam,July,2024,27873,71085,Bihu,Rainy,Medium
Assam,August,2024,9298,30640,Bihu,Rainy,Low
Assam,September,2024,35480,130717,Bihu,Rainy,High
Assam,October,2024,41091,81947,Bihu,Pleasant,High
Assam,November,2024,48098,148845,Bihu,Pleasant,High
Assam,December,2024,11919,52995,Bihu,Cool,Medium
Bihar,January,2024,42925,138520,None,Cool,High
Bihar,February,2024,26305,81336,None,Cool,High
Bihar,March,2024,47190,47395,None,Warm,Medium
Bihar,April,2024,30975,101689,None,Warm,High
Bihar,May,2024,38429,71053,None,Warm,High
Bihar,June,2024,47870,54600,None,Rainy,High
Bihar,July,2024,5213,69808,None,Rainy,Medium
Bihar,August,2024,36543,131185,None,Rainy,High
Bihar,September,2024,46783,118194,None,Rainy,High
Bihar,October,2024,6228,51125,None,Pleasant,Medium
Bihar,November,2024,23752,69471,None,Pleasant,Medium
Bihar,December,2024,27422,102442,None,Cool,High
Chhattisgarh,January,2024,15750,129625,None,Cool,High
Chhattisgarh,February,2024,42900,132559,None,Cool,High
Chhattisgarh,March,2024,40396,113981,None,Warm,High
Chhattisgarh,April,2024,26758,149196,None,Warm,High
Chhattisgarh,May,2024,38233,98154,None,Warm,High
Chhattisgarh,June,2024,8967,135928,None,Rainy,High
Chhattisgarh,July,2024,11551,40757,None,Rainy,Medium
